Visitor/Neutral,PTS,Home/Neutral,PTS
Indiana Pacers,98,Minnesota Timberwolves,100
Cleveland Cavaliers,114,Dallas Mavericks,96
Washington Wizards,99,San Antonio Spurs,116
Portland Trail Blazers,107,Utah Jazz,129
New Orleans Pelicans,123,Los Angeles Clippers,104
New York Knicks,110,Brooklyn Nets,112
Memphis Grizzlies,98,Toronto Raptors,91
Golden State Warriors,96,Phoenix Suns,104
Detroit Pistons,92,Portland Trail Blazers,110
Los Angeles Lakers,117,Sacramento Kings,92
Atlanta Hawks,114,Indiana Pacers,111
Denver Nuggets,103,Orlando Magic,108
Minnesota Timberwolves,107,Washington Wizards,115
Philadelphia 76ers,87,Boston Celtics,88
Cleveland Cavaliers,111,Miami Heat,85
Charlotte Hornets,125,Milwaukee Bucks,127
Dallas Mavericks,139,New Orleans Pelicans,107
Houston Rockets,114,Oklahoma City Thunder,110
Sacramento Kings,124,Los Angeles Clippers,115
Chicago Bulls,119,New York Knicks,115
Milwaukee Bucks,93,Toronto Raptors,97
Oklahoma City Thunder,79,Memphis Grizzlies,152
Detroit Pistons,103,Phoenix Suns,114
San Antonio Spurs,114,Portland Trail Blazers,83
Miami Heat,113,Indiana Pacers,104
Cleveland Cavaliers,116,Washington Wizards,101
Philadelphia 76ers,98,Atlanta Hawks,96
Minnesota Timberwolves,105,Brooklyn Nets,110
Orlando Magic,116,Houston Rockets,118
New Orleans Pelicans,107,Dallas Mavericks,91
Boston Celtics,130,Utah Jazz,137
Phoenix Suns,96,Golden State Warriors,118
Los Angeles Clippers,119,Los Angeles Lakers,115
Denver Nuggets,113,New York Knicks,99
Chicago Bulls,111,Brooklyn Nets,107
Miami Heat,102,Milwaukee Bucks,124
Memphis Grizzlies,97,Dallas Mavericks,90
San Antonio Spurs,112,Golden State Warriors,107
Boston Celtics,145,Portland Trail Blazers,117
Los Angeles Clippers,99,Sacramento Kings,104
Utah Jazz,109,Cleveland Cavaliers,108
Charlotte Hornets,130,Atlanta Hawks,127
Washington Wizards,90,Toronto Raptors,102
New Orleans Pelicans,108,Houston Rockets,118
Philadelphia 76ers,127,Charlotte Hornets,124
Oklahoma City Thunder,114,Detroit Pistons,103
Washington Wizards,110,Indiana Pacers,116
Memphis Grizzlies,105,Miami Heat,90
Denver Nuggets,97,Chicago Bulls,109
Cleveland Cavaliers,104,Milwaukee Bucks,112
Atlanta Hawks,121,Minnesota Timberwolves,110
San Antonio Spurs,104,Phoenix Suns,108
Orlando Magic,95,Golden State Warriors,126
Los Angeles Clippers,102,Portland Trail Blazers,90
Brooklyn Nets,102,Dallas Mavericks,99
New York Knicks,121,San Antonio Spurs,109
Boston Celtics,102,Los Angeles Lakers,117
Philadelphia 76ers,110,Charlotte Hornets,106
Chicago Bulls,92,Cleveland Cavaliers,115
Washington Wizards,119,Detroit Pistons,116
New York Knicks,102,Indiana Pacers,122
Milwaukee Bucks,104,Miami Heat,113
Oklahoma City Thunder,110,Toronto Raptors,109
Brooklyn Nets,104,Houston Rockets,114
Dallas Mavericks,104,Memphis Grizzlies,96
Utah Jazz,136,Minnesota Timberwolves,104
Denver Nuggets,120,New Orleans Pelicans,114
Portland Trail Blazers,94,Golden State Warriors,104
Orlando Magic,130,Sacramento Kings,142
Boston Celtics,111,Los Angeles Clippers,114
Utah Jazz,118,Philadelphia 76ers,96
Los Angeles Lakers,95,Memphis Grizzlies,108
Denver Nuggets,111,San Antonio Spurs,123
Sacramento Kings,123,Charlotte Hornets,124
Dallas Mavericks,93,Indiana Pacers,106
Brooklyn Nets,113,Atlanta Hawks,105
New York Knicks,87,Toronto Raptors,90
Milwaukee Bucks,123,Houston Rockets,114
Cleveland Cavaliers,123,Minnesota Timberwolves,106
Detroit Pistons,93,New Orleans Pelicans,109
Los Angeles Lakers,116,Oklahoma City Thunder,95
Boston Celtics,90,Phoenix Suns,111
Orlando Magic,104,Los Angeles Clippers,106
Utah Jazz,123,Washington Wizards,98
Sacramento Kings,103,Cleveland Cavaliers,117
Houston Rockets,106,Memphis Grizzlies,113
Chicago Bulls,92,Miami Heat,118
Golden State Warriors,93,Philadelphia 76ers,102
Denver Nuggets,127,San Antonio Spurs,112
Milwaukee Bucks,112,New York Knicks,97
Brooklyn Nets,116,Detroit Pistons,104
Dallas Mavericks,103,Oklahoma City Thunder,84
New Orleans Pelicans,97,San Antonio Spurs,112
Minnesota Timberwolves,116,Portland Trail Blazers,111
Orlando Magic,94,Los Angeles Lakers,106
Miami Heat,94,Cleveland Cavaliers,105
Golden State Warriors,102,Indiana Pacers,100
Sacramento Kings,101,Toronto Raptors,124
Houston Rockets,132,Atlanta Hawks,126
Milwaukee Bucks,103,Boston Celtics,117
Philadelphia 76ers,91,Memphis Grizzlies,126
Charlotte Hornets,96,Dallas Mavericks,120
Washington Wizards,107,Denver Nuggets,113
Phoenix Suns,95,Los Angeles Clippers,111
Toronto Raptors,129,Brooklyn Nets,131
Golden State Warriors,105,New York Knicks,96
Phoenix Suns,111,Portland Trail Blazers,107
Houston Rockets,89,Cleveland Cavaliers,124
Atlanta Hawks,111,Orlando Magic,99
Miami Heat,101,Philadelphia 76ers,96
Los Angeles Lakers,107,Dallas Mavericks,104
Indiana Pacers,99,Milwaukee Bucks,114
New Orleans Pelicans,113,Oklahoma City Thunder,110
Charlotte Hornets,131,San Antonio Spurs,115
Minnesota Timberwolves,124,Denver Nuggets,107
Memphis Grizzlies,113,Portland Trail Blazers,103
Washington Wizards,105,Sacramento Kings,119
Los Angeles Clippers,103,Utah Jazz,124
Detroit Pistons,113,Indiana Pacers,122
Philadelphia 76ers,105,Brooklyn Nets,114
New York Knicks,116,Houston Rockets,103
Washington Wizards,98,Phoenix Suns,118
Miami Heat,115,Orlando Magic,105
Denver Nuggets,133,Atlanta Hawks,115
Golden State Warriors,111,Boston Celtics,107
Milwaukee Bucks,112,New Orleans Pelicans,116
San Antonio Spurs,128,Utah Jazz,126
Los Angeles Lakers,92,Minnesota Timberwolves,110
Charlotte Hornets,116,Portland Trail Blazers,125
Memphis Grizzlies,124,Sacramento Kings,105
Houston Rockets,116,Detroit Pistons,107
New York Knicks,107,Boston Celtics,114
Orlando Magic,100,Brooklyn Nets,93
Golden State Warriors,100,Toronto Raptors,119
Los Angeles Clippers,103,Oklahoma City Thunder,104
Cleveland Cavaliers,119,Milwaukee Bucks,90
Washington Wizards,109,Utah Jazz,103
Miami Heat,90,Detroit Pistons,100
Portland Trail Blazers,105,Memphis Grizzlies,100
San Antonio Spurs,114,Sacramento Kings,121
Los Angeles Lakers,110,Chicago Bulls,115
Dallas Mavericks,105,Minnesota Timberwolves,111
Charlotte Hornets,106,Phoenix Suns,137
Philadelphia 76ers,108,Boston Celtics,103
Houston Rockets,118,Chicago Bulls,133
Oklahoma City Thunder,102,Memphis Grizzlies,99
Charlotte Hornets,102,Utah Jazz,112
Sacramento Kings,98,Golden State Warriors,113
San Antonio Spurs,116,Los Angeles Clippers,92
Indiana Pacers,96,Miami Heat,125
Detroit Pistons,91,New York Knicks,105
Portland Trail Blazers,97,New Orleans Pelicans,111
Minnesota Timberwolves,102,Dallas Mavericks,114
Phoenix Suns,108,Los Angeles Lakers,90
Orlando Magic,104,Atlanta Hawks,98
Cleveland Cavaliers,101,Boston Celtics,111
Houston Rockets,106,Milwaukee Bucks,126
Denver Nuggets,94,Oklahoma City Thunder,108
Los Angeles Clippers,105,Sacramento Kings,89
Houston Rockets,106,Indiana Pacers,118
New Orleans Pelicans,110,Orlando Magic,104
Atlanta Hawks,98,Philadelphia 76ers,96
Detroit Pistons,112,Miami Heat,115
Washington Wizards,124,New York Knicks,117
Milwaukee Bucks,102,Dallas Mavericks,95
Charlotte Hornets,115,Denver Nuggets,107
Oklahoma City Thunder,101,Phoenix Suns,113
Minnesota Timberwolves,116,Utah Jazz,128
Memphis Grizzlies,104,Golden State Warriors,113
San Antonio Spurs,138,Los Angeles Lakers,110
Atlanta Hawks,87,New York Knicks,101
Boston Celtics,113,Milwaukee Bucks,117
Golden State Warriors,116,Phoenix Suns,107
Brooklyn Nets,122,Los Angeles Lakers,115
Dallas Mavericks,116,Utah Jazz,120
Orlando Magic,83,Miami Heat,93
Toronto Raptors,99,Cleveland Cavaliers,144
Memphis Grizzlies,127,Sacramento Kings,102
Philadelphia 76ers,117,Washington Wizards,96
New Orleans Pelicans,112,Oklahoma City Thunder,117
Detroit Pistons,109,San Antonio Spurs,144
Indiana Pacers,105,Chicago Bulls,113
Denver Nuggets,103,Los Angeles Clippers,100
Houston Rockets,99,Charlotte Hornets,123
Chicago Bulls,130,Atlanta Hawks,118
Boston Celtics,103,Minnesota Timberwolves,108
Utah Jazz,110,San Antonio Spurs,104
Memphis Grizzlies,114,Phoenix Suns,113
Dallas Mavericks,132,Portland Trail Blazers,117
Brooklyn Nets,124,Los Angeles Clippers,108
Milwaukee Bucks,127,Orlando Magic,110
Washington Wizards,112,Miami Heat,119
Philadelphia 76ers,114,Toronto Raptors,109
Los Angeles Lakers,132,Houston Rockets,123
New York Knicks,96,Minnesota Timberwolves,88
Cleveland Cavaliers,104,New Orleans Pelicans,108
Denver Nuggets,89,Golden State Warriors,86
Oklahoma City Thunder,111,Sacramento Kings,117
New York Knicks,94,Detroit Pistons,85
Charlotte Hornets,116,Indiana Pacers,108
Los Angeles Clippers,91,Boston Celtics,82
Atlanta Hawks,117,Chicago Bulls,131
Los Angeles Lakers,99,Memphis Grizzlies,104
Oklahoma City Thunder,97,Phoenix Suns,115
Utah Jazz,120,Portland Trail Blazers,105
Dallas Mavericks,94,Sacramento Kings,95
Philadelphia 76ers,110,Brooklyn Nets,102
Milwaukee Bucks,136,Orlando Magic,118
Cleveland Cavaliers,93,Washington Wizards,110
Phoenix Suns,108,Boston Celtics,123
Chicago Bulls,108,Indiana Pacers,106
Dallas Mavericks,112,Sacramento Kings,96
Miami Heat,120,Houston Rockets,110
Atlanta Hawks,121,Cleveland Cavaliers,118
Los Angeles Clippers,108,Toronto Raptors,116
San Antonio Spurs,105,Memphis Grizzlies,118
New York Knicks,80,Oklahoma City Thunder,95
Minnesota Timberwolves,108,Utah Jazz,120
Portland Trail Blazers,106,Los Angeles Lakers,139
New Orleans Pelicans,113,Milwaukee Bucks,136
San Antonio Spurs,116,Detroit Pistons,117
Chicago Bulls,120,Washington Wizards,119
Los Angeles Clippers,120,Brooklyn Nets,116
Denver Nuggets,124,Houston Rockets,111
Golden State Warriors,123,Utah Jazz,116
New York Knicks,105,Toronto Raptors,120
Orlando Magic,111,Boston Celtics,116
Indiana Pacers,104,Cleveland Cavaliers,108
Miami Heat,113,Sacramento Kings,115
Phoenix Suns,133,Charlotte Hornets,99
Dallas Mavericks,95,Oklahoma City Thunder,86
Minnesota Timberwolves,103,Los Angeles Lakers,108
Houston Rockets,113,Philadelphia 76ers,133
Charlotte Hornets,121,Washington Wizards,124
Memphis Grizzlies,118,Brooklyn Nets,104
Orlando Magic,98,Chicago Bulls,102
Detroit Pistons,115,Milwaukee Bucks,106
Utah Jazz,115,New Orleans Pelicans,104
Denver Nuggets,89,Dallas Mavericks,103
Miami Heat,108,Golden State Warriors,115
Atlanta Hawks,131,Portland Trail Blazers,136
Minnesota Timberwolves,122,Los Angeles Clippers,104
Memphis Grizzlies,110,Cleveland Cavaliers,106
San Antonio Spurs,104,Toronto Raptors,129
Indiana Pacers,94,New York Knicks,104
Phoenix Suns,123,New Orleans Pelicans,110
Sacramento Kings,114,Los Angeles Lakers,122
Detroit Pistons,111,Charlotte Hornets,140
Philadelphia 76ers,116,Orlando Magic,106
Houston Rockets,114,Washington Wizards,111
San Antonio Spurs,99,Boston Celtics,97
Golden State Warriors,82,Dallas Mavericks,99
Brooklyn Nets,129,Indiana Pacers,121
Toronto Raptors,117,Milwaukee Bucks,111
Oklahoma City Thunder,90,Minnesota Timberwolves,98
Utah Jazz,115,Denver Nuggets,109
Miami Heat,115,Portland Trail Blazers,109
Atlanta Hawks,108,Sacramento Kings,102
Boston Celtics,105,New York Knicks,108
Detroit Pistons,88,Memphis Grizzlies,118
Golden State Warriors,96,New Orleans Pelicans,101
Los Angeles Clippers,89,Phoenix Suns,106
San Antonio Spurs,100,Philadelphia 76ers,119
Milwaukee Bucks,121,Brooklyn Nets,109
Utah Jazz,108,Toronto Raptors,122
Washington Wizards,122,Chicago Bulls,130
Dallas Mavericks,130,Houston Rockets,106
Minnesota Timberwolves,135,Oklahoma City Thunder,105
Sacramento Kings,111,Denver Nuggets,121
Atlanta Hawks,118,Los Angeles Lakers,134
Cleveland Cavaliers,114,Portland Trail Blazers,101
Memphis Grizzlies,123,Los Angeles Clippers,108
Milwaukee Bucks,106,Charlotte Hornets,114
Orlando Magic,92,Detroit Pistons,97
Utah Jazz,113,Indiana Pacers,125
New York Knicks,75,Boston Celtics,99
Miami Heat,123,Phoenix Suns,100
San Antonio Spurs,119,Brooklyn Nets,121
Atlanta Hawks,93,Los Angeles Clippers,106
Washington Wizards,102,Orlando Magic,100
New Orleans Pelicans,101,Toronto Raptors,105
Minnesota Timberwolves,141,Houston Rockets,123
Denver Nuggets,99,Oklahoma City Thunder,95
Chicago Bulls,99,Dallas Mavericks,113
Cleveland Cavaliers,82,Golden State Warriors,96
Sacramento Kings,88,Portland Trail Blazers,103
Memphis Grizzlies,127,Los Angeles Lakers,119
Milwaukee Bucks,99,Charlotte Hornets,103
Utah Jazz,116,Detroit Pistons,126
Indiana Pacers,98,Boston Celtics,101
San Antonio Spurs,96,New York Knicks,111
Philadelphia 76ers,111,Houston Rockets,91
Brooklyn Nets,108,Portland Trail Blazers,114
Cleveland Cavaliers,109,Sacramento Kings,108
Oklahoma City Thunder,118,Washington Wizards,122
Phoenix Suns,99,Toronto Raptors,95
Detroit Pistons,87,Chicago Bulls,133
Golden State Warriors,108,Memphis Grizzlies,116
Minnesota Timberwolves,125,New Orleans Pelicans,128
Denver Nuggets,85,Los Angeles Clippers,87
Boston Celtics,119,Indiana Pacers,100
Charlotte Hornets,109,Philadelphia 76ers,98
Orlando Magic,106,Washington Wizards,112
Miami Heat,115,Atlanta Hawks,91
Dallas Mavericks,85,New York Knicks,108
Houston Rockets,128,San Antonio Spurs,124
Cleveland Cavaliers,111,Utah Jazz,91
Brooklyn Nets,138,Chicago Bulls,112
Los Angeles Lakers,116,Sacramento Kings,125